| BaseMapper | config | private | relationalStore.StoreConfig | relationalStore.StoreConfig | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:11:3:11:46 |
| FieldType | BOOLEAN | null | unknown | unknown | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/model/FieldType.ts:5:3:5:22 |
| FieldType | NUMBER | null | unknown | unknown | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/model/FieldType.ts:2:3:2:20 |
| FieldType | TEXT | null | unknown | unknown | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/model/FieldType.ts:3:3:3:16 |
| Index | mapper | null | unknown | unknown | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:13:3:13:35 |
| MapperMultiple | mapper1 | private | BaseMapper<Employee> | BaseMapper<Employee> | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/rdb/MapperMultiple.ets:9:3:9:47 |
| MapperMultiple | mapper1 | static | BaseMapper<Employee> | BaseMapper<Employee> | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/rdb/MapperMultiple.ets:9:3:9:47 |
| MapperMultiple | mapper2 | private | BaseMapper<Employee> | BaseMapper<Employee> | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/rdb/MapperMultiple.ets:10:3:10:47 |
| MapperMultiple | mapper2 | static | BaseMapper<Employee> | BaseMapper<Employee> | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/rdb/MapperMultiple.ets:10:3:10:47 |
| Page | current | null | number | number | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/model/Page.ets:3:3:3:22 |
| Page | record | null | T[] | T[] | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/model/Page.ets:5:3:5:19 |
| Page | size | null | number | number | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/model/Page.ets:4:3:4:20 |
| Page | total | null | number | number | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/model/Page.ets:2:3:2:20 |
| SqlData | sql | null | string | string | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/model/SqlData.ts:4:3:4:14 |
| SqlData | values | null | relationalStore.ValueType[] | relationalStore.ValueType[] | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/model/SqlData.ts:5:3:5:38 |
| SqlUtils | columns | null | TableFieldParams[] | TableFieldParams[] | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/SqlUtils.ts:8:3:8:30 |
| SqlUtils | fields | null | string[] | string[] | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/SqlUtils.ts:16:3:16:19 |
| SqlUtils | fieldsTemp | null | string | string | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/SqlUtils.ts:18:3:18:21 |
| SqlUtils | idName | null | string | string | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/SqlUtils.ts:12:3:12:17 |
| SqlUtils | propertyKeys | null | string[] | string[] | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/SqlUtils.ts:14:3:14:25 |
| SqlUtils | tableName | null | string | string | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/SqlUtils.ts:10:3:10:20 |
| SqlUtils | valueTemp | null | string | string | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/SqlUtils.ts:20:3:20:20 |
| TableFieldParams | isPrimaryKey | null | boolean | boolean | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/model/TableFieldParams.ts:17:3:17:26 |
| TableFieldParams | name | null | string | string | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/model/TableFieldParams.ts:7:3:7:17 |
| TableFieldParams | propertyKey | null | string | string | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/model/TableFieldParams.ts:22:3:22:23 |
| TableFieldParams | type | null | FieldType | FieldType | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/model/TableFieldParams.ts:12:3:12:19 |
| TableParams | tableName | null | string | string | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/model/TableParams.ts:5:3:5:21 |
| Wrapper | groupSql | protected | string | string | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Wrapper.ets:8:3:8:34 |
| Wrapper | havingSql | protected | string | string | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Wrapper.ets:9:3:9:35 |
| Wrapper | orderList | protected | string[] | string[] | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Wrapper.ets:10:3:10:37 |
| Wrapper | selectSql | protected | string | string | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Wrapper.ets:7:3:7:36 |
| Wrapper | updateList | protected | string[] | string[] | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Wrapper.ets:13:3:13:38 |
| Wrapper | updateValueList | protected | relationalStore.ValueType[] | relationalStore.ValueType[] | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Wrapper.ets:14:3:14:62 |
| Wrapper | valueList | protected | relationalStore.ValueType[] | relationalStore.ValueType[] | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Wrapper.ets:12:3:12:56 |
| Wrapper | whereList | protected | string[] | string[] | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Wrapper.ets:11:3:11:37 |
