| new %AC0$%dflt-showToast(...) | constructor() | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/rdb/MessageDialog.ets:15:1:20:2 | 0 | C |
| new Index(...) | %instInit() | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/pages/Index.ets:8:50:8:50 | 0 | C |
| new MyWrapper(...) | constructor() | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/MyWrapper.ets:9:3:21:4 | 0 | C |
| new Page(...) | %instInit() | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/model/Page.ets:7:3:12:4 | 0 | C |
| new Page(...) | constructor(number, number, number, T[]) | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:218:3:243:4 | 4 | C |
| new Promise(...) | constructor() | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:58:3:70:4 | 0 | C |
| new SqlUtils(...) | %instInit() | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/SqlUtils.ts:22:3:36:4 | 0 | C |
| new SqlUtils(...) | constructor(string, TableFieldParams[]) | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:15:3:40:4 | 2 | C |
| new Wrapper(...) | %instInit() | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Wrapper.ets:16:3:17:4 | 0 | C |
| new Wrapper(...) | constructor() | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:153:3:178:4 | 0 | C |
| new Wrapper(...) | constructor() | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:185:3:209:4 | 0 | C |
| new Wrapper(...) | constructor() | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:218:3:243:4 | 0 | C |
| new Wrapper(...) | constructor() | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:61:3:80:4 | 0 | C |
| new Wrapper(...) | constructor() | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:87:3:116:4 | 0 | C |
