| <module> | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/rdb/MessageDialog.ets:1:1:1:1 | alertDialog | export | unknown | void | alertDialog(string, () => void, string) | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/rdb/MessageDialog.ets:35:1:45:2 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/entry/src/main/ets/rdb/MessageDialog.ets:35:1:45:2 |
| <module> | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/DecoratorUtils.ts:1:1:1:1 | getEntityMeta | export | string | string | getEntityMeta(Class) | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/DecoratorUtils.ts:8:1:10:2 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/DecoratorUtils.ts:8:1:10:2 |
| <module> | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/decorator/Table.ts:1:1:1:1 | Table | export | unknown | Function | Table(TableParams) | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/decorator/Table.ts:6:1:10:2 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/decorator/Table.ts:6:1:10:2 |
| <module> | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/decorator/TableField.ts:1:1:1:1 | TableField | export | unknown | Function | TableField(TableFieldParams) | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/decorator/TableField.ts:6:1:19:2 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/decorator/TableField.ts:6:1:19:2 |
| <module> | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/utils/tsUtils.ts:1:1:1:1 | copyInstance | export | T | T | copyInstance(unknown, unknown) | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/utils/tsUtils.ts:4:1:6:2 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/utils/tsUtils.ts:4:1:6:2 |
| <module> | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/ohosTest/ets/test/Ability.test.ets:1:1:1:1 | abilityTest | default | unknown | void | abilityTest() | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/ohosTest/ets/test/Ability.test.ets:4:1:35:2 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/ohosTest/ets/test/Ability.test.ets:4:1:35:2 |
| <module> | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/ohosTest/ets/test/Ability.test.ets:1:1:1:1 | abilityTest | export | unknown | void | abilityTest() | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/ohosTest/ets/test/Ability.test.ets:4:1:35:2 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/ohosTest/ets/test/Ability.test.ets:4:1:35:2 |
| <module> | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/ohosTest/ets/test/List.test.ets:1:1:1:1 | testsuite | default | unknown | void | testsuite() | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/ohosTest/ets/test/List.test.ets:3:1:5:2 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/ohosTest/ets/test/List.test.ets:3:1:5:2 |
| <module> | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/ohosTest/ets/test/List.test.ets:1:1:1:1 | testsuite | export | unknown | void | testsuite() | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/ohosTest/ets/test/List.test.ets:3:1:5:2 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/ohosTest/ets/test/List.test.ets:3:1:5:2 |
| <module> | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/test/List.test.ets:1:1:1:1 | testsuite | default | unknown | void | testsuite() | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/test/List.test.ets:3:1:5:2 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/test/List.test.ets:3:1:5:2 |
| <module> | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/test/List.test.ets:1:1:1:1 | testsuite | export | unknown | void | testsuite() | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/test/List.test.ets:3:1:5:2 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/test/List.test.ets:3:1:5:2 |
| <module> | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/test/LocalUnit.test.ets:1:1:1:1 | localUnitTest | default | unknown | void | localUnitTest() | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/test/LocalUnit.test.ets:3:1:33:2 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/test/LocalUnit.test.ets:3:1:33:2 |
| <module> | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/test/LocalUnit.test.ets:1:1:1:1 | localUnitTest | export | unknown | void | localUnitTest() | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/test/LocalUnit.test.ets:3:1:33:2 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/test/LocalUnit.test.ets:3:1:33:2 |
| BaseMapper | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:10:1:392:2 | build | public | BaseMapper<T> | BaseMapper | build(BuildParams<T>) | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:15:3:40:4 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:15:3:40:4 |
| BaseMapper | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:10:1:392:2 | build | static | BaseMapper<T> | BaseMapper | build(BuildParams<T>) | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:15:3:40:4 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:15:3:40:4 |
| BaseMapper | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:10:1:392:2 | constructor | private | void | BaseMapper | constructor(relationalStore.StoreConfig, SqlUtils<T>, (res: relationalStore.ResultSet) => T) | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:42:3:47:4 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:42:3:47:4 |
| BaseMapper | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:10:1:392:2 | count | async | Promise<number> | Promise | count(Wrapper, Connection) | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:61:3:80:4 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:61:3:80:4 |
| BaseMapper | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:10:1:392:2 | delete | async | Promise<relationalStore.ValueType> | Promise | delete(Wrapper, Connection) | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:357:3:371:4 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:357:3:371:4 |
| BaseMapper | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:10:1:392:2 | deleteById | async | Promise<relationalStore.ValueType> | Promise | deleteById(relationalStore.ValueType, Connection) | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:378:3:391:4 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:378:3:391:4 |
| BaseMapper | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:10:1:392:2 | getById | async | Promise<T \u007c undefined> | Promise | getById(relationalStore.ValueType, Connection) | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:250:3:268:4 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:250:3:268:4 |
| BaseMapper | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:10:1:392:2 | getConnection | async | Promise<Connection> | Promise | getConnection() | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:52:3:54:4 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:52:3:54:4 |
| BaseMapper | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:10:1:392:2 | getList | async | Promise<T[]> | Promise | getList(Wrapper, Connection) | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:153:3:178:4 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:153:3:178:4 |
| BaseMapper | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:10:1:392:2 | getObject | async | Promise<ESObject[]> | Promise | getObject(Wrapper, Connection) | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:87:3:116:4 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:87:3:116:4 |
| BaseMapper | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:10:1:392:2 | getObjectBySql | async | Promise<ESObject[]> | Promise | getObjectBySql(string, relationalStore.ValueType[], Connection) | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:124:3:146:4 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:124:3:146:4 |
| BaseMapper | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:10:1:392:2 | getOne | async | Promise<T \u007c undefined> | Promise | getOne(Wrapper, Connection) | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:185:3:209:4 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:185:3:209:4 |
| BaseMapper | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:10:1:392:2 | getPage | async | Promise<Page<T>> | Promise | getPage(number, number, Wrapper, Connection) | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:218:3:243:4 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:218:3:243:4 |
| BaseMapper | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:10:1:392:2 | insert | async | Promise<relationalStore.ValueType> | Promise | insert(T, Connection) | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:276:3:289:4 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:276:3:289:4 |
| BaseMapper | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:10:1:392:2 | insertBatch | async | Promise<relationalStore.ValueType> | Promise | insertBatch(T[], Connection) | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:296:3:309:4 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:296:3:309:4 |
| BaseMapper | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:10:1:392:2 | update | async | Promise<relationalStore.ValueType> | Promise | update(Wrapper, Connection) | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:316:3:330:4 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:316:3:330:4 |
| BaseMapper | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:10:1:392:2 | updateById | async | Promise<relationalStore.ValueType> | Promise | updateById(T, Connection) | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:337:3:350:4 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/BaseMapper.ets:337:3:350:4 |
| Connection | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:8:1:145:2 | backup | async | Promise<void> | Promise | backup(string) | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:133:3:136:4 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:133:3:136:4 |
| Connection | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:8:1:145:2 | beginTransaction | null | void | void | beginTransaction() | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:101:3:104:4 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:101:3:104:4 |
| Connection | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:8:1:145:2 | close | async | Promise<void> | Promise | close() | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:125:3:128:4 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:125:3:128:4 |
| Connection | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:8:1:145:2 | commit | null | void | void | commit() | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:109:3:112:4 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:109:3:112:4 |
| Connection | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:8:1:145:2 | constructor | null | void | Connection | constructor(string, relationalStore.RdbStore) | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:50:3:53:4 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:50:3:53:4 |
| Connection | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:8:1:145:2 | create | async | Promise<Connection> | Promise | create(relationalStore.StoreConfig) | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:58:3:70:4 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:58:3:70:4 |
| Connection | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:8:1:145:2 | create | static | Promise<Connection> | Promise | create(relationalStore.StoreConfig) | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:58:3:70:4 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:58:3:70:4 |
| Connection | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:8:1:145:2 | deleteRdbStore | async | Promise<void> | Promise | deleteRdbStore(string) | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:29:3:36:4 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:29:3:36:4 |
| Connection | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:8:1:145:2 | deleteRdbStore | static | Promise<void> | Promise | deleteRdbStore(string) | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:29:3:36:4 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:29:3:36:4 |
| Connection | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:8:1:145:2 | execDML | async | Promise<relationalStore.ValueType> | Promise | execDML(string, Array<relationalStore.ValueType>) | null | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:75:3:83:4 | file:///mnt/zengjy69/AlphaTrans/arkts_projects/automated_reduced_projects/RdbPlus/rdbplus/src/main/ets/core/Connection.ets:75:3:83:4 |
